bike_id,lat,lon,is_reserved,is_disabled,jump_vehicle_type,jump_ebike_battery_level,jump_vehicle_name,company,time_scraped
99636371-bc16-5b05-a995-46c30edeb95b,33.774815,-84.389626,0,0,scooter,68%,JHM762,jump,2019-08-22 11:33:26.668917-04:00
b75bb3bc-1044-5aad-8c2d-4fa71e2cb15a,33.793403,-84.371988,0,0,scooter,36%,BIX305,jump,2019-08-22 11:33:26.668917-04:00
bf895715-24a6-5b4c-826e-dd463e7c7cc4,33.782613,-84.368656,0,0,scooter,62%,ETP947,jump,2019-08-22 11:33:26.668917-04:00
5eccefbb-7354-5d54-9bff-50dacb12499a,33.762116,-84.395321,0,0,scooter,50%,YXL864,jump,2019-08-22 11:33:26.668917-04:00
156479fe-4af6-5fb5-8095-9d36a4a9948e,33.809245,-84.429455,0,0,scooter,54%,NUO036,jump,2019-08-22 11:33:26.668917-04:00
3251b30b-e388-5ae0-bb14-f08f8a10b66e,33.762481,-84.469821,0,0,scooter,79%,LBH471,jump,2019-08-22 11:33:26.668917-04:00
10da884d-684c-55b9-9557-4fc7ed194a98,33.809335,-84.429466,0,0,scooter,45%,DGU870,jump,2019-08-22 11:33:26.668917-04:00
eb862424-f91a-52dc-a8b7-8698fa1aea49,33.782628,-84.354476,0,0,scooter,70%,CKQ568,jump,2019-08-22 11:33:26.668917-04:00
fd2e41f8-e51a-5500-865e-0334172aa86b,33.769186,-84.420475,0,0,scooter,43%,EUX905,jump,2019-08-22 11:33:26.668917-04:00
3e87736d-5eda-51b7-a7ae-443c378a6621,33.769593,-84.365476,0,0,scooter,74%,SPJ605,jump,2019-08-22 11:33:26.668917-04:00
93af7117-0b59-5593-91a7-1845b926b398,33.786006,-84.3827,0,0,scooter,59%,7892,jump,2019-08-22 11:33:26.668917-04:00
d83a6d95-95fa-5ba4-a0b7-df1cba9a4424,33.771245,-84.367915,0,0,scooter,84%,OTX321,jump,2019-08-22 11:33:26.668917-04:00
e3d01e4e-cdef-5329-9ae1-fd14dd805bc6,33.771098,-84.365068,0,0,scooter,84%,ZUJ688,jump,2019-08-22 11:33:26.668917-04:00
23754f39-b036-5498-aaf6-bed537640699,33.784071,-84.412215,0,0,scooter,64%,EGS948,jump,2019-08-22 11:33:26.668917-04:00
1cd814d2-020a-5ae6-a7fd-6d909d61ed00,33.746661,-84.37258,0,0,scooter,95%,SMO924,jump,2019-08-22 11:33:26.668917-04:00
32bf4ca8-b89f-5228-a78f-6cfcc3602f84,33.786143,-84.383263,0,0,scooter,45%,LIL377,jump,2019-08-22 11:33:26.668917-04:00
a329ff8e-3a9f-553c-810a-97f8e94f4e36,33.86581,-84.367053,0,0,scooter,70%,QBW557,jump,2019-08-22 11:33:26.668917-04:00
66bc66d7-ae38-5f7e-8849-67d9b8c31476,33.771093,-84.365085,0,0,scooter,84%,WSE012,jump,2019-08-22 11:33:26.668917-04:00
44c42395-1590-5f39-95b6-1d335887961b,33.781803,-84.380338,0,0,scooter,80%,GYH825,jump,2019-08-22 11:33:26.668917-04:00
4e279e21-5b99-567d-82ec-bb054f021efb,33.808906,-84.428736,0,0,scooter,50%,SAV377,jump,2019-08-22 11:33:26.668917-04:00
f86b9f2d-f134-5828-9d7a-d6c585a3773e,33.809326,-84.429466,0,0,scooter,51%,KEN809,jump,2019-08-22 11:33:26.668917-04:00
b446c663-1a4a-5012-b021-5bb9df4f93ff,33.771236,-84.383388,0,0,scooter,77%,7237,jump,2019-08-22 11:33:26.668917-04:00
f80c740e-061b-58f6-b634-fa774c05d395,33.756485,-84.365285,0,0,scooter,48%,SUZ999,jump,2019-08-22 11:33:26.668917-04:00
